"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Verify delete button is displayed for the added weight entry","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","5203","Verify user can add blood pressure using floating plus button","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","537","Verify entry date for added HbA1c is displayed correctly in list view","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","3853","Verify user cannot save HbA1c entry>=14","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","502","Verify month and year header is displayed correctly","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","118","Verify filters such as 'Month' is not available for HbA1c health param","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","11818","Verify user can save HbA1c entry between 4 and 14","tests.temp.Health","2026-09-23","failed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2527","Verify user cannot save HbA1c entry without filling HbA1c data and should display error message","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2379","Verify user can delete weight and but saying YES, should delete weight","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","119","Verify filters such as 'Year' is not available for HbA1c health param","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","278","Verify edit button is displayed for the added weight entry","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","3815","Verify user can edit HbA1c","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2329","Verify user can view HbA1c entry and validate details","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","1983","Verify Recent Logs displays the edited HbA1c entry with correct details","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","96","Verify filters such as 'All' is not available for HbA1c health param","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","1057","Verify user edited HbA1c reflects in main weight page","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","4598","Verify user cannot save HbA1c entry<=4","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","1742","Verify ENTRY_COUNT reflects the correct value after adding Blood pressure","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","305","Verify target HbA1c is displayed correctly","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2244","Verify user can delete weight and but saying NO, shouldn't delete weight","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","4095","Verify user can edit target HbA1c set","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2113","Verify HbA1c list page loaded with correct UI elements","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","112","Verify filters such as 'Week' is not available for HbA1c health param","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","592","Verify added HbA1c entry is displayed correctly in list view","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"Test login functionality with valid credentials","22375","Verify 'No data recorded' message displayed when no HbA1c data is recorded","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","1041","Verify HbA1c addition form has correct fields","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","2625","Verify clicking Add HbA1c button opens Add HbA1c form","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
"","9035","Verify edited target HbA1c reflects the same on main page","tests.temp.Health","2026-09-23","passed","2026-09-23","TestHealthHbA1c","test_hbA1c","",""
