"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2325","Verify user can view HbA1c entry and validate details","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","1103","Verify HbA1c addition form has correct fields","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2366","Verify ENTRY_COUNT reflects the correct value after adding Blood pressure","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","298","Verify edit button is displayed for the added weight entry","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","559","Verify entry date for added HbA1c is displayed correctly in list view","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2619","Verify user cannot save HbA1c entry without filling HbA1c data and should display error message","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","106","Verify filters such as 'Month' is not available for HbA1c health param","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","476","Verify month and year header is displayed correctly","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","3836","Verify user can edit HbA1c","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","119","Verify filters such as 'Year' is not available for HbA1c health param","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","11890","Verify user can save HbA1c entry between 4 and 14","tests.temp.Health","2026-09-24","failed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","3961","Verify user cannot save HbA1c entry>=14","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","1143","Verify user edited HbA1c reflects in main weight page","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2177","Verify HbA1c list page loaded with correct UI elements","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","121","Verify filters such as 'Week' is not available for HbA1c health param","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","4687","Verify user can add blood pressure using floating plus button","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2400","Verify user can delete weight and but saying NO, shouldn't delete weight","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","287","Verify target HbA1c is displayed correctly","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"Test login functionality with valid credentials","19871","Verify 'No data recorded' message displayed when no HbA1c data is recorded","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","4653","Verify user cannot save HbA1c entry<=4","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","9696","Verify edited target HbA1c reflects the same on main page","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","585","Verify added HbA1c entry is displayed correctly in list view","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2043","Verify Recent Logs displays the edited HbA1c entry with correct details","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","4788","Verify user can edit target HbA1c set","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2379","Verify user can delete weight and but saying YES, should delete weight","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","113","Verify filters such as 'All' is not available for HbA1c health param","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","285","Verify delete button is displayed for the added weight entry","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
"","2754","Verify clicking Add HbA1c button opens Add HbA1c form","tests.temp.Health","2026-09-24","passed","2026-09-24","TestHealthHbA1c","test_hbA1c","",""
